run,stream_size,B,step_pct,step_idx,prefix_size,F_t0,N_t
17,10000,10,100,20,10000,9704,10025
18,10000,10,5,1,500,497,507
18,10000,10,10,2,1000,993,988
18,10000,10,15,3,1500,1487,1503
18,10000,10,20,4,2000,1979,1933
18,10000,10,25,5,2500,2468,2413
18,10000,10,30,6,3000,2958,3013
18,10000,10,35,7,3500,3441,3650
18,10000,10,40,8,4000,3930,4030
18,10000,10,45,9,4500,4410,4197
18,10000,10,50,10,5000,4895,4553
18,10000,10,55,11,5500,5374,5320
18,10000,10,60,12,6000,5857,5755
18,10000,10,65,13,6500,6341,6166
18,10000,10,70,14,7000,6823,6631
18,10000,10,75,15,7500,7307,7088
18,10000,10,80,16,8000,7794,7535
18,10000,10,85,17,8500,8278,8143
18,10000,10,90,18,9000,8762,8592
18,10000,10,95,19,9500,9239,8995
18,10000,10,100,20,10000,9719,9465
19,10000,10,5,1,500,499,512
19,10000,10,10,2,1000,995,978
19,10000,10,15,3,1500,1489,1520
19,10000,10,20,4,2000,1981,2060
19,10000,10,25,5,2500,2473,2501
19,10000,10,30,6,3000,2962,2922
19,10000,10,35,7,3500,3442,3400
19,10000,10,40,8,4000,3928,3887
19,10000,10,45,9,4500,4417,4553
19,10000,10,50,10,5000,4904,5105
19,10000,10,55,11,5500,5384,5420
19,10000,10,60,12,6000,5867,5889
19,10000,10,65,13,6500,6351,6428
19,10000,10,70,14,7000,6840,6728
19,10000,10,75,15,7500,7328,7325
19,10000,10,80,16,8000,7812,7823
19,10000,10,85,17,8500,8294,8176
19,10000,10,90,18,9000,8779,8695
19,10000,10,95,19,9500,9266,9384
19,10000,10,100,20,10000,9753,9967
0,50000,10,5,1,2500,2470,2468
0,50000,10,10,2,5000,4898,5210
0,50000,10,15,3,7500,7322,7855
0,50000,10,20,4,10000,9731,10335
0,50000,10,25,5,12500,12153,12833
0,50000,10,30,6,15000,14551,15351
0,50000,10,35,7,17500,16965,17525
0,50000,10,40,8,20000,19376,20095
0,50000,10,45,9,22500,21783,22551
0,50000,10,50,10,25000,24191,25086
0,50000,10,55,11,27500,26581,27646
0,50000,10,60,12,30000,28979,30353
0,50000,10,65,13,32500,31361,32740
0,50000,10,70,14,35000,33768,35747
0,50000,10,75,15,37500,36165,38172
0,50000,10,80,16,40000,38558,40030
0,50000,10,85,17,42500,40946,42551
0,50000,10,90,18,45000,43352,44185
0,50000,10,95,19,47500,45746,46918
0,50000,10,100,20,50000,48141,48994
1,50000,10,5,1,2500,2463,2435
1,50000,10,10,2,5000,4897,5105
1,50000,10,15,3,7500,7307,7492
1,50000,10,20,4,10000,9698,10029
1,50000,10,25,5,12500,12105,12039
1,50000,10,30,6,15000,14508,14287
1,50000,10,35,7,17500,16912,16692
1,50000,10,40,8,20000,19304,19027
1,50000,10,45,9,22500,21700,20832
1,50000,10,50,10,25000,24102,23186
1,50000,10,55,11,27500,26498,25017
1,50000,10,60,12,30000,28905,27315
1,50000,10,65,13,32500,31292,29367
1,50000,10,70,14,35000,33687,31804
1,50000,10,75,15,37500,36100,34265
1,50000,10,80,16,40000,38504,36322
1,50000,10,85,17,42500,40903,38809
1,50000,10,90,18,45000,43303,41108
1,50000,10,95,19,47500,45681,43504
1,50000,10,100,20,50000,48070,45810
2,50000,10,5,1,2500,2460,2435
2,50000,10,10,2,5000,4894,4848
2,50000,10,15,3,7500,7292,6828
2,50000,10,20,4,10000,9712,8961
2,50000,10,25,5,12500,12111,11164
2,50000,10,30,6,15000,14505,13579
2,50000,10,35,7,17500,16903,15606
2,50000,10,40,8,20000,19297,17702
2,50000,10,45,9,22500,21685,19862
2,50000,10,50,10,25000,24084,21844
2,50000,10,55,11,27500,26476,24093
2,50000,10,60,12,30000,28883,26804
2,50000,10,65,13,32500,31266,29371
2,50000,10,70,14,35000,33667,32036
2,50000,10,75,15,37500,36062,34309
2,50000,10,80,16,40000,38458,36149
2,50000,10,85,17,42500,40848,37838
2,50000,10,90,18,45000,43219,40648
2,50000,10,95,19,47500,45607,43452
2,50000,10,100,20,50000,47989,45734
3,50000,10,5,1,2500,2457,2490
3,50000,10,10,2,5000,4888,4553
3,50000,10,15,3,7500,7295,6644
3,50000,10,20,4,10000,9709,9051
3,50000,10,25,5,12500,12122,11204
3,50000,10,30,6,15000,14551,13626
3,50000,10,35,7,17500,16946,15973
3,50000,10,40,8,20000,19353,17918
3,50000,10,45,9,22500,21742,20209
3,50000,10,50,10,25000,24153,23160
3,50000,10,55,11,27500,26544,26346
3,50000,10,60,12,30000,28930,28724
3,50000,10,65,13,32500,31311,30640
3,50000,10,70,14,35000,33716,33227
3,50000,10,75,15,37500,36114,35069
3,50000,10,80,16,40000,38515,36887
3,50000,10,85,17,42500,40907,39516
3,50000,10,90,18,45000,43324,41095
3,50000,10,95,19,47500,45703,43363
3,50000,10,100,20,50000,48073,45867
4,50000,10,5,1,2500,2471,2445
4,50000,10,10,2,5000,4912,5146
4,50000,10,15,3,7500,7334,7557
4,50000,10,20,4,10000,9752,9573
4,50000,10,25,5,12500,12175,11640
4,50000,10,30,6,15000,14598,14012
4,50000,10,35,7,17500,16999,16435
4,50000,10,40,8,20000,19381,18985
4,50000,10,45,9,22500,21767,20710
4,50000,10,50,10,25000,24164,22785
4,50000,10,55,11,27500,26557,24701
4,50000,10,60,12,30000,28952,27127
4,50000,10,65,13,32500,31347,29532
4,50000,10,70,14,35000,33745,31720
4,50000,10,75,15,37500,36140,33933
4,50000,10,80,16,40000,38531,36535
4,50000,10,85,17,42500,40937,38586
4,50000,10,90,18,45000,43318,40875
4,50000,10,95,19,47500,45716,42848
4,50000,10,100,20,50000,48092,44887
5,50000,10,5,1,2500,2466,2372
5,50000,10,10,2,5000,4896,4642
5,50000,10,15,3,7500,7307,7171
5,50000,10,20,4,10000,9722,9660
5,50000,10,25,5,12500,12139,11914
5,50000,10,30,6,15000,14537,15016
5,50000,10,35,7,17500,16943,17400
5,50000,10,40,8,20000,19363,20257
5,50000,10,45,9,22500,21754,22862
5,50000,10,50,10,25000,24167,25202
5,50000,10,55,11,27500,26547,27109
5,50000,10,60,12,30000,28946,29362
5,50000,10,65,13,32500,31330,31459
5,50000,10,70,14,35000,33720,33898
5,50000,10,75,15,37500,36106,35736
5,50000,10,80,16,40000,38495,37729
5,50000,10,85,17,42500,40892,40247
5,50000,10,90,18,45000,43278,42518
5,50000,10,95,19,47500,45679,45006
5,50000,10,100,20,50000,48061,46888
6,50000,10,5,1,2500,2453,2479
6,50000,10,10,2,5000,4875,4642
6,50000,10,15,3,7500,7297,7402
6,50000,10,20,4,10000,9687,9629
6,50000,10,25,5,12500,12121,11700
6,50000,10,30,6,15000,14532,14116
6,50000,10,35,7,17500,16943,16382
6,50000,10,40,8,20000,19345,18464
6,50000,10,45,9,22500,21753,20861
6,50000,10,50,10,25000,24176,23599
6,50000,10,55,11,27500,26574,25063
6,50000,10,60,12,30000,28966,27271
6,50000,10,65,13,32500,31365,29159
6,50000,10,70,14,35000,33762,31844
6,50000,10,75,15,37500,36177,34064
6,50000,10,80,16,40000,38585,36568
6,50000,10,85,17,42500,40970,39551
6,50000,10,90,18,45000,43347,42041
6,50000,10,95,19,47500,45752,45084
6,50000,10,100,20,50000,48146,47361
7,50000,10,5,1,2500,2470,2468
7,50000,10,10,2,5000,4878,5105
7,50000,10,15,3,7500,7285,6877
7,50000,10,20,4,10000,9701,9164
7,50000,10,25,5,12500,12099,11450
7,50000,10,30,6,15000,14489,14152
7,50000,10,35,7,17500,16899,16395
7,50000,10,40,8,20000,19291,18695
7,50000,10,45,9,22500,21691,21491
7,50000,10,50,10,25000,24083,23150
7,50000,10,55,11,27500,26487,25086
7,50000,10,60,12,30000,28887,26756
7,50000,10,65,13,32500,31301,29144
7,50000,10,70,14,35000,33703,31277
7,50000,10,75,15,37500,36102,34969
7,50000,10,80,16,40000,38487,37300
7,50000,10,85,17,42500,40894,40384
7,50000,10,90,18,45000,43286,42949
7,50000,10,95,19,47500,45665,44320
7,50000,10,100,20,50000,48037,46644
8,50000,10,5,1,2500,2463,2573
8,50000,10,10,2,5000,4900,5678
8,50000,10,15,3,7500,7308,7312
8,50000,10,20,4,10000,9705,9722
8,50000,10,25,5,12500,12110,12254
8,50000,10,30,6,15000,14507,14752
8,50000,10,35,7,17500,16923,17156
8,50000,10,40,8,20000,19351,19476
8,50000,10,45,9,22500,21754,21434
8,50000,10,50,10,25000,24153,23808
8,50000,10,55,11,27500,26559,26161
8,50000,10,60,12,30000,28948,28448
8,50000,10,65,13,32500,31351,31241
8,50000,10,70,14,35000,33744,33917
8,50000,10,75,15,37500,36142,35302
8,50000,10,80,16,40000,38532,37185
8,50000,10,85,17,42500,40942,39026
8,50000,10,90,18,45000,43325,40774
8,50000,10,95,19,47500,45719,43078
8,50000,10,100,20,50000,48107,45151
9,50000,10,5,1,2500,2460,2479
9,50000,10,10,2,5000,4888,4968
9,50000,10,15,3,7500,7289,7398
9,50000,10,20,4,10000,9702,9681
9,50000,10,25,5,12500,12117,12449
9,50000,10,30,6,15000,14528,15081
9,50000,10,35,7,17500,16928,17384
9,50000,10,40,8,20000,19336,19934
9,50000,10,45,9,22500,21737,22588
9,50000,10,50,10,25000,24143,25050
9,50000,10,55,11,27500,26545,26940
9,50000,10,60,12,30000,28946,29476
9,50000,10,65,13,32500,31319,31539
9,50000,10,70,14,35000,33719,33680
9,50000,10,75,15,37500,36117,36094
9,50000,10,80,16,40000,38510,39596
9,50000,10,85,17,42500,40923,42035
9,50000,10,90,18,45000,43307,44334
9,50000,10,95,19,47500,45694,46131
9,50000,10,100,20,50000,48075,47657
10,50000,10,5,1,2500,2449,2435
10,50000,10,10,2,5000,4883,4642
10,50000,10,15,3,7500,7311,7236
10,50000,10,20,4,10000,9726,9841
10,50000,10,25,5,12500,12124,12331
10,50000,10,30,6,15000,14497,14776
10,50000,10,35,7,17500,16909,17631
10,50000,10,40,8,20000,19333,20039
10,50000,10,45,9,22500,21725,22120
10,50000,10,50,10,25000,24104,24705
10,50000,10,55,11,27500,26502,26886
10,50000,10,60,12,30000,28904,29821
10,50000,10,65,13,32500,31307,32571
10,50000,10,70,14,35000,33702,35030
10,50000,10,75,15,37500,36082,37613
10,50000,10,80,16,40000,38481,39277
10,50000,10,85,17,42500,40906,41910
10,50000,10,90,18,45000,43308,44228
10,50000,10,95,19,47500,45698,46978
10,50000,10,100,20,50000,48079,49613
11,50000,10,5,1,2500,2452,2424
11,50000,10,10,2,5000,4891,4642
11,50000,10,15,3,7500,7295,7511
11,50000,10,20,4,10000,9719,9911
11,50000,10,25,5,12500,12125,11940
11,50000,10,30,6,15000,14540,14066
11,50000,10,35,7,17500,16967,16625
11,50000,10,40,8,20000,19386,18964
11,50000,10,45,9,22500,21812,21645
11,50000,10,50,10,25000,24192,23430
11,50000,10,55,11,27500,26593,25895
11,50000,10,60,12,30000,28987,28478
11,50000,10,65,13,32500,31365,30542
11,50000,10,70,14,35000,33758,32680
11,50000,10,75,15,37500,36148,34803
11,50000,10,80,16,40000,38525,37739
11,50000,10,85,17,42500,40912,40682
11,50000,10,90,18,45000,43289,42620
11,50000,10,95,19,47500,45688,44990
11,50000,10,100,20,50000,48064,46845
12,50000,10,5,1,2500,2465,2456
12,50000,10,10,2,5000,4879,4325
12,50000,10,15,3,7500,7302,7150
12,50000,10,20,4,10000,9719,9995
12,50000,10,25,5,12500,12118,12391
12,50000,10,30,6,15000,14535,14786
12,50000,10,35,7,17500,16947,17158
12,50000,10,40,8,20000,19358,19119
12,50000,10,45,9,22500,21767,21586
12,50000,10,50,10,25000,24149,24045
12,50000,10,55,11,27500,26553,27063
12,50000,10,60,12,30000,28939,29403
12,50000,10,65,13,32500,31347,31609
12,50000,10,70,14,35000,33752,33427
12,50000,10,75,15,37500,36160,34801
12,50000,10,80,16,40000,38557,37413
12,50000,10,85,17,42500,40939,40338
12,50000,10,90,18,45000,43343,43418
12,50000,10,95,19,47500,45725,46093
12,50000,10,100,20,50000,48136,48974
13,50000,10,5,1,2500,2451,2392
13,50000,10,10,2,5000,4869,4553
13,50000,10,15,3,7500,7286,7097
13,50000,10,20,4,10000,9690,9743
13,50000,10,25,5,12500,12099,12135
13,50000,10,30,6,15000,14521,14368
13,50000,10,35,7,17500,16921,17164
13,50000,10,40,8,20000,19315,19316
13,50000,10,45,9,22500,21702,21602
13,50000,10,50,10,25000,24109,23986
13,50000,10,55,11,27500,26510,25471
13,50000,10,60,12,30000,28906,28804
13,50000,10,65,13,32500,31291,31214
13,50000,10,70,14,35000,33693,34079
13,50000,10,75,15,37500,36070,36384
13,50000,10,80,16,40000,38459,38641
13,50000,10,85,17,42500,40851,40987
13,50000,10,90,18,45000,43244,44190
13,50000,10,95,19,47500,45643,46776
13,50000,10,100,20,50000,48041,50255
